"sector_id","sector_nombre","variable_id","actividad_producto_nombre","indicador","unidad_de_medida","fuente","frecuencia_nombre","cobertura_nombre","alcance_tipo","alcance_id","alcance_nombre","indice_tiempo","valor"
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","58","NEUQUEN",2022-01-01,515
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","58","NEUQUEN",2023-01-01,187
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","58","NEUQUEN",2024-01-01,231
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","62","RIO NEGRO",2002-01-01,2580
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","62","RIO NEGRO",2003-01-01,3506
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","62","RIO NEGRO",2004-01-01,2028
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","62","RIO NEGRO",2005-01-01,2741
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","62","RIO NEGRO",2006-01-01,1276
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","62","RIO NEGRO",2007-01-01,1839
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","62","RIO NEGRO",2008-01-01,153
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","62","RIO NEGRO",2009-01-01,779
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","62","RIO NEGRO",2010-01-01,929
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","62","RIO NEGRO",2011-01-01,1457
